,CompanyId,CompanySiteID,CompanyName,PostToWebsite,Visible,Researcher,Cohort,DateLastUpdated,RefreshSchedule,NextRefresh,RelevantParentCompany,RelevantSubsidiaryCompanies,AllAliases,FirstEightAliases,AllOtherAliases,CompanyWebsite,Majorcompanybrands,HeadquarterCountry,PublicOrPrivate,TickerSymbol,Sector,Industry,MarketCapitalizationDisclosed,MarketCapitalization,AnnualRevenueDisclosed,AnnualRevenue,FinancesCurrency,MarketCapitalizationInUsd,AnnualRevenueInUsd,FinancesCurrentAsOf,TwitterHandle,SustainabilityReporting,SustainabilityCommodityReporting,CommodityReportedon,SustainabilityReportingYear,AcknowledgeDeforestationIssue,AcknowlDeforestationwithCommod,CDP2015_voluntaryoffsetbuyer,PromiseFuturDeforestationCommit,CommodityTypeofFutureCommit,GeneralCommitment,SoyCommitment,PalmCommitment,TimberPulpCommitment,CattleCommitment,TotalCommitments,DormantCommPresent,NumberOfAssessments,NumberOfRelatedActivities,CreatedAt,ModifiedAt,VoluntaryOffsets,Researcher_Other,UpdatedNotes
1067,2681,156.0,Mondelez,Yes,yes,Luke,2016.0,9/10/2018,6 Month,9/8/2017,,,"Alpen Gold, Barni, Belvita, Chips Ahoy, Clight, Club Social, C'ote D'Or, Dentyne, Dirol, Enjoy Life, Freia, Halls, Honey Maid, Kraft Foods Europe Services GMBH, Lacta, LU, Marabou, Mikado, Milka, Nabisco, Newtons, Nilla, Nutter Butter, Oreo, Prince, Ritz, Sottilette, Sour Patch Kids, Stride, Tang, Tiger, Toblerone, Trident, Triscuit, TUC, Wheat Thins","Alpen Gold,  Barni,  Belvita,  Chips Ahoy,  Clight,  Club Social,  C'ote D'Or,  Dentyne"," Dirol,  Enjoy Life,  Freia,  Halls,  Honey Maid,  Kraft Foods Europe Services GMBH,  Lacta,  LU,  Marabou,  Mikado,  Milka,  Nabisco,  Newtons,  Nilla,  Nutter Butter,  Oreo,  Prince,  Ritz,  Sottilette,  Sour Patch Kids,  Stride,  Tang,  Tiger,  Toblerone,  Trident,  Triscuit,  TUC,  Wheat Thins",www.mondelezinternational.com,,United States,Public,MDLZ,Food Products,Consumer Goods,,62360000000.0,,25900000000.0,USD,60920000000.0,25920000000.0,9/10/2018,MDLZ,,,,,,,,,,,no,Yes,Yes,No,2.0,,15.0,7.0,,2/13/2019 5:22:08 PM,,,"publicly traded, stock ticker, market cap, revenue, year"
1068,2682,157.0,Mondi,Yes,yes,Laura,2016.0,10/30/2018,6 Month,2/2/2018,,"Bongani Development CC, Mondi Timber Limited, Professional Starch Proprietary Limited, Zimshelf Eight Investment Holdings Proprietary Limited, Open Joint Stock Company Mondi Syktyvkar",Mondi Group,Mondi Group,,www.mondigroup.com,,South Africa,Publicly traded,SA: MND,Paper/Pulp,Basic Materials/Resources,,40010000000.0,,6220000000.0,ZAR,2471449590.0,335424180.0,2017,,,,,,,,,,,,No,No,Yes,No,2.0,,6.0,6.25,,2/13/2019 5:22:08 PM,Yes,,"market cap, annual revenue, year"
1071,2685,,Monsanto,No - profiled under parent,yes,Philip,,7/18/2017,12 Month,7/18/2018,,Seminis,Roundup,Roundup,,www.monsanto.com,,United States,Publicly traded,NYSE: MON,Farming,Agriculture,,44100000000.0,,13490000000.0,USD,44100000000.0,13490000000.0,11/2/2016,MonsantoCo,,,,,,,,,,,Former,No,No,No,0.0,,0.0,4.0,,2/13/2019 5:22:08 PM,,,
1095,3120,1941.0,Post Holdings,yes,yes,Philip,2016.0,4/14/2017,12 Month,4/14/2018,,"Mom Brands, Michael Foods Group, Post Cereals, Attune Foods LLC, Powerbar Europe Gmbh, Post Foods LLC, Premier Nutrition Corporation, Dymatize Enterprises LLC, Golden Boy Foods ltd, Dakota Growers Pasta Company Inc, American Blanching Company, Willamette Egg Farms","Fruity Pebbles, Honey Bunchesof Oats, Postum Cereals","Fruity Pebbles,  Honey Bunchesof Oats,  Postum Cereals",,www.postholdings.com,,United States,Publicly traded,NYSE: Post,Food Products,Consumer Goods,,5600000000.0,,5030000000.0,USD,5600000000.0,5030000000.0,4/14/2017,,,,,,,,,,,,no,yes,no,no,1.0,,0.0,0.0,,2/13/2019 5:22:08 PM,,,
1107,3347,2563.0,Real,Yes,yes,Jonathan,2018.0,6/7/2017,9 Month,3/7/2018,Metro AG,,,,,www.real.de,,Germany,Publicly traded,Subsidiary,Food Retailers & Wholesalers,Retail/Wholesale,Subsidiary,,,10400000000.0,EUR,,11293682400.0,1/1/2007,realMarkt,,,,,,,,,,,No,Yes,Yes,Potential,2.0,,0.0,2.5,,1/26/2019 2:14:46 AM,,,
1109,3349,183.0,Reckitt Benckiser,yes,yes,Philip,2016.0,4/24/2017,9 Month,1/24/2018,,,"Air Wick, Clearasil, Durex, French's, Lysol, Mr Sheen, Mucinex, Scholl, Vanish, Woolite","Air Wick,  Clearasil,  Durex,  French's,  Lysol,  Mr Sheen,  Mucinex,  Scholl"," Vanish,  Woolite",www.rb.com,,United Kingdom,Publicly traded,UK: RB,Nondurable Household Products,Consumer Goods,,50550000000.0,,9890000000.0,GBP,72804991350.0,14244141730.0,4/24/2017,,,,,,,,,,,,Potential,Yes,Yes,No,3.0,,13.0,4.0,,2/13/2019 5:22:08 PM,,,
1112,3505,,SAP,No exposure,,Philip,,2/10/2016,-,,,,,,,www.sap.com/corporate-en/about.html,,Germany,Publicly traded,Xetra: SAP,Software,Technology,,89910000000.0,,,EUR,97636056210.0,0.0,2/2/2016,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:52 AM,,,
1114,3507,2220.0,Sappi Group,Yes,yes,An,2016.0,10/8/2018,6 Month,10/7/2017,,"Sappi Fine Paper (North America), Sappi Europe, Sappi Southern Africa, Sappi International",South African Pulpand Paper Industries ltd.,South African Pulpand Paper Industries ltd.,,www.sappi.com,,South Africa,Publicly traded,ZA: SAP,Paper/Pulp,Basic Materials/Resources,,48550000000.0,,70830000000.0,ZAR,2474521240.0,3980244070.0,9/30/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,3.0,2.0,,2/13/2019 5:22:08 PM,Yes,,"Market cap, annual rev"
1115,3508,2511.0,Sappi North America,Yes,yes,Philip,2017.0,4/7/2017,9 Month,1/7/2018,Sappi Group,,,,,www.sappi.com,,United States,Publicly traded,Subsidiary,Paper/Pulp,Basic Materials/Resources,Subsidiary,,No,,,,,,SappiNA,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,1.5,,2/12/2019 4:40:47 PM,Yes,,
1116,3509,,Sapporo,"No commitment, has exposure",,Jonathan,,9/12/2018,12 Month,9/7/2017,,"Pokka Sapporo Food & Beverage, Country Pure Foods",,,,www.sapporoholdings.jp/english/index.html,,Japan,Publicly traded,Tokyo: 2501,Alcoholic Beverages/Drinks,Consumer Goods,,211010000000.0,,533750000000.0,JPY,1780291370.0,4503248750.0,9/7/2016,SapporoCanada,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:52 AM,,,
1118,3511,,Sarawak Oil Palms,,,,,,-,,,,,,,Sarawak Oil Palm Plantation Owners Association,,Malaysia,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,3.0,1.0,,1/26/2019 2:14:52 AM,,,
1132,3722,207.0,Sodexo,Yes,yes,An,2016.0,3/30/2018,9 Month,12/30/2018,,,,,,www.sodexo.com,,France,Publicly traded,FR: SW,Restaurants & Bars,Leisure Products,,14740000000.0,,20698000000.0,EUR,16006622940.0,22476599838.0,11/20/2017,SodexoGroup,,,,,,,,,,,Yes,Yes,Yes,Yes,4.0,,10.0,3.0,,1/26/2019 2:15:04 AM,,,
1142,4015,,Time Publishing and Media,"No commitment, has exposure",,Jonathan,,6/29/2016,12 Month,6/29/2017,,Anhui Whywin International Co Ltd,,,,www.press-mart.com,,China,Publicly traded,Shanghai: 600551,Publishing,Media/Entertainment,,10180000000.0,,6020000000.0,CNY,1549558880.0,916340320.0,6/29/2016,,,,,,,,,,,,No,No,No,No,0.0,,4.0,1.0,,1/26/2019 2:14:58 AM,,,
1156,4250,232.0,Walmart,Yes,Yes,Laura,2016.0,10/1/2018,6 Month,1/13/2018,,"ASDA, Seiyu, Sam's Club",Wal-Mart,Wal-Mart,,www.walmart.com,,United States,Publicly traded,NYSE: WMT,Mixed Retailing,Retail/Wholesale,,279490000000.0,,500340000000.0,USD,222890000000.0,485140000000.0,2018,Walmart,,,,,,,,,,,Yes,Yes,Yes,Yes,4.0,,10.0,11.75,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year"
1157,4251,233.0,Walt Disney Company,Yes,yes,Luke,2016.0,9/12/2018,6 Month,2/15/2018,,Walt Disney World,"A & E Television Network, ABC Family, Aulani, ESPN, Lucas Film Ltd., Maker, Marvel, Pixar, Touchstone Pictures","A & E Television Network,  ABC Family,  Aulani,  ESPN,  Lucas Film Ltd.,  Maker,  Marvel,  Pixar",Touchstone Pictures,www.thewaltdisneycompany.com,,United States,Publicly traded,NYSE: DIS,Broadcasting & Entertainment,Media/Entertainment,,164610000000.0,,54940000000.0,USD,156510000000.0,55370000000.0,9/12/2018,waltdisneyco,,,,,,,,,,,no,no,Yes,No,1.0,,2.0,1.0,,2/13/2019 5:22:08 PM,Yes,,"Market cap, annual revenue, finance year"
1170,4441,,Arca Continental,,,Laura,,9/11/2018,,,,,,,,http://www.arcacontal.com/,,Mexico,Public,BMV: AC,Non-Alcoholic Beverages/Drinks,Consumer Goods,,209460000000.0,,139490000000.0,MXN - Mexican Peso,,,2017,@ArcaCoEC,,,,,,,,,,,,,,,,,,,9/11/2018 12:04:48 PM,1/26/2019 2:14:58 AM,,,
1171,4442,,Essity,,,Laura,,9/11/2018,,,,"TENA, Tork, Leukoplast, Cutimed, JOBST, Delta Cast, Delta Lite, Actimove, (formerly part of SCA Hygiene) ",,,,https://www.essity.com/,,Sweden,Public,Stockholm: ESSITYB,Personal Care Products/Appliances,Personal Products,,165690000000.0,,109270000000.0,SEK - Swedish Krona,,,2017,@essity,,,,,,,,,,,,Yes,Yes,,,,,,9/11/2018 3:06:40 PM,1/26/2019 2:14:58 AM,,,"market capitalization, annual revenue, finance year, currency, twitter handle"
1190,270,1895.0,Anheuser-Busch InBev,yes,Yes,An,2016.0,8/28/2018,9 Month,1/10/2018,,"Anheuser-Busch, AmBev, Grupo Modelo, Foster's Group, South African Breweries, Kompania Piwowarska","AB InBev, Beck's, Bud Light, Budweiser, Corona, Sella Artois","AB InBev,  Beck's,  Bud Light,  Budweiser,  Corona,  Sella Artois",,www.ab-inbev.com,,Belgium,Publicly traded,NYSE: BUD,Alcoholic Beverages/Drinks,Consumer Goods,,155300000000.0,No,,EUR,190863232560.0,42698806920.0,8/08/2018,ABInBevNews,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,1.0,,2/13/2019 5:22:08 PM,,,market cap
1268,1365,,Facebook,No exposure,,Jonathan,,3/11/2016,-,,,,,,,www.facebook.com,,United States,Publicly traded,Nasdaq: FB,Internet/Online,Technology,,305530000000.0,,17930000000.0,USD,305530000000.0,17930000000.0,,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:58 AM,,,
1291,1605,,GFK,No exposure,,Philip,,2/5/2016,-,,,,,,,ww.gfk.com,,GERMANY,Publicly traded,Frankfurt: GFK,Advertising/Marketing/Public Relations,Business/Consumer Services,,1250000000.0,,1540000000.0,EUR,1357413750.0,1672333740.0,4/13/2016,,,,,,,,,,,,No,No,No,No,0.0,,0.0,1.0,,1/26/2019 2:14:58 AM,,,
1308,2001,,IJM Plantations Berhad,,,,,,-,,IJM Corporation,,,,,IJM Plantations Berhad,,Malaysia,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,3.0,0.0,,1/26/2019 2:14:52 AM,,,
1333,2306,2194.0,Kraft Heinz,Yes,yes,Philip,2017.0,10/12/2016,9 Month,7/12/2017,,,"ABC, Capri Sun, Classico, Heinz, Kool-Aid, Kraft, Lunchables, Maxwell House, Ore-Ida, Philadelphia, Planters, Plasmon, Quero, Velveeta, Weight Watchers Smart Ones","ABC,  Capri Sun,  Classico,  Heinz,  Kool-Aid,  Kraft,  Lunchables,  Maxwell House"," Ore-Ida,  Philadelphia,  Planters,  Plasmon,  Quero,  Velveeta,  Weight Watchers Smart Ones",www.kraftheinzcompany.com,,United States,Publicly traded,Nasdaq: KHC,Food Products,Consumer Goods,,106230000000.0,,18340000000.0,USD,106230000000.0,18340000000.0,10/12/2016,KraftHeinzCo,,,,,,,,,,,No,Yes,No,No,1.0,,8.0,3.0,,2/13/2019 5:22:08 PM,,,
1334,2307,133.0,Krispy Kreme,Yes,yes,Philip,2016.0,10/12/2016,12 Month,10/12/2017,JAB Beech,krispykreme,Original Glazed,Original Glazed,,www.krispykreme.com,,United States,Publicly traded,NYSE:KKD,Restaurants & Bars,Consumer Goods,,1090000000.0,,518710000.0,USD,1090000000.0,518710000.0,10/12/2016,Krispy Kreme U.K. Limited,,,,,,,,,,,No,Yes,No,No,1.0,,5.0,1.0,,2/13/2019 5:22:08 PM,,,
1335,2308,134.0,Kroger,Yes,yes,Philip,2016.0,10/1/2018,6 Month,1/13/2018,,,"ABOUND, Big K, Comfortsfor Baby, Dillons Food Stores, Food4less, Fred Meyer, Fry's Food & Drug, Harris Teeter, Hemis Fares, Heritage Farm, Hims Fares, Jay C/ Ruler, King Soopers, Kwik Shop, Loaf' N Jug, LUVESOME, Pet Pride, Private Selection, Quality Food Centers, Quik Shop, Ralphs, Roundy's, Simple Truth, Smith's, Tom Thumb, Turkey Hill Minit Markets","ABOUND,  Big K,  Comfortsfor Baby,  Dillons Food Stores,  Food4less,  Fred Meyer,  Fry's Food & Drug,  Harris Teeter"," Hemis Fares,  Heritage Farm,  Hims Fares,  Jay C/ Ruler,  King Soopers,  Kwik Shop,  Loaf' N Jug,  LUVESOME,  Pet Pride,  Private Selection,  Quality Food Centers,  Quik Shop,  Ralphs,  Roundy's,  Simple Truth,  Smith's,  Tom Thumb,  Turkey Hill Minit Markets",www.kroger.com,,United States,Publicly traded,NYSE: KR,Food Retailers & Wholesalers,Retail/Wholesale,,20460000000.0,,115340000000.0,USD,20460000000.0,115340000000.0,7/13/2017,kroger,,,,,,,,,,,No,Yes,Yes,No,2.0,,6.0,3.0,,2/13/2019 5:22:08 PM,,,
1339,2312,,KS Oils ltd.,Notes Included,,Philip,,7/7/2016,-,,,,,,,,,India,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,3.0,0.0,,1/26/2019 2:14:58 AM,,,
1342,2315,1927.0,Kuala Lumpur Kepong Berhad (KLK),yes,Yes,Laura,2016.0,12/21/2018,6 Month,12/28/2017,Batu Kawan,"ADEI, Equatorial Palm Oil",,,,www.klk.com.my,,Malaysia,Publicly traded,MY: KLK,Farming,Agriculture,,25640000000.0,,18400000000.0,MYR,6115311160.0,3814272280.0,12/21/2018,,,,,,,,,,,,No,Yes,No,No,1.0,,7.0,2.0,,1/26/2019 2:14:58 AM,,,"market capitalization, annual revenue, finance year"
1348,2456,2650.0,L'Occitane International,Yes,yes,Philip,2017.0,10/18/2016,12 Month,10/18/2017,,"Laboratoires M&L,  L'Occitane Inc., erborian, Melvita",,,,www.loccitane.com/group/home.aspx,,Luxembourg,Publicly traded,HK: 0973,Specialty Retail,Retail/Wholesale,,24340000000.0,,10980000000.0,HKD,3128614920.0,1411347240.0,10/18/2016,,,,,,,,,,,,No,Yes,No,No,1.0,,0.0,2.0,,1/26/2019 2:14:34 AM,,,
1356,2689,645.0,Morgan Sindall Group,yes,yes,An,2016.0,12/20/2018,9 Month,2/8/2018,,"AMEC, Connaught",Lovell Partnerships,Lovell Partnerships,,www.morgansindall.com,,United Kingdom,Publicly traded,UK: MGNS,Construction,Real Estate/Construction,,464550000.0,,2790000000.0,GBP,712221489.07,3687057920.0,11/08/2018,morgansindall,,,,,,,,,,,No,No,Yes,No,1.0,,0.0,2.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
1369,75,2521.0,Adecoagro,Yes,yes,An,2018.0,12/31/2018,6 Month,11/24/2017,,"Usina Monte Alegre, Kelizer, Pilag\E1, Cavok, Establecimientos El Orden, Ba\F1ado del Salado, Forsalt, Dinaluca, Simoneta, Compa\F1\EDa Agroforestal",Adeco Agropecuaria,Adeco Agropecuaria,,www.adecoagro.com/home.aspx#,,Luxembourg,Publicly traded,NYSE: AGRO,Farming,Agriculture,,793360000000.0,,933180000000.0,USD,1360000000.0,839860000.0,11/15/2018,,,,,,,,,,,,Yes,No,No,No,2.0,,2.0,1.0,,2/13/2019 5:22:08 PM,,,"market cap, annual rev"
1373,79,2.0,Adidas,Yes,yes,Nathan,2016.0,1/24/2019,9 Month,5/18/2018,,"Adidas, Reebok","Reebok, Rockport, Taylor Made","Reebok,  Rockport,  Taylor Made",,www.adidas-group.com,,Germany,Publicly traded,DE:ADS,Footwear,Consumer Goods,,47280000000.0,,21220000000.0,USD - US Dollar,43567551720.0,20947608990.0,1/24/2019,adidas,,,,,,,,,,,No,No,Former,Yes,1.0,,3.0,2.0,,2/13/2019 5:22:08 PM,Yes,,"Market cap, revenue, subsidiary, currency"
1375,81,,Aditya Birla Nuvo,No - profiled under parent,,Jonathan,,4/12/2017,12 Month,4/12/2018,Aditya Birla Group,Pantaloons Fashion & Retail Ltd.,"Aditya Birla Insulators, Indo Gulf, Linen Club, Ray One","Aditya Birla Insulators,  Indo Gulf,  Linen Club,  Ray One",,www.adityabirlanuvo.com,,India,Publicly traded,NSE: EQABIRLANUVO,Clothing,Consumer Goods,,203280000000.0,,226960000000.0,INR,3020334240.0,3372171680.0,4/12/2017,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,2/13/2019 5:22:08 PM,,,
1401,634,,BRF,"No commitment, has exposure",,Jonathan,,11/21/2016,12 Month,11/21/2017,,,"Perdigao, Sadia","Perdigao,  Sadia",,www.brf-global.com,,Brazil,Publicly traded,NYSE: BRFS,Food Products,Consumer Goods,,12700000000.0,,32200000000.0,USD,12700000000.0,32200000000.0,11/21/2016,BRF_Global,,,,,,,,,,,No,No,No,No,0.0,,5.0,0.0,,2/13/2019 5:22:08 PM,,,
1414,840,,CHS (CHSCP),"No commitment, has exposure",,An,,9/27/2018,12 Month,11/29/2017,,TEMCO LLC (joint venture with Cargill),"Imagic, Q Isolates Ultra-Soy, Ventura Foods","Imagic,  Q Isolates Ultra-Soy,  Ventura Foods",,www.chsinc.com,,United States,Publicly traded,Nasdaq: CHSCP,Farming,Agriculture,,360670000000.0,,31934751000.0,USD,226610510.0,34600000000.0,8/31/2017,CHSGovAffairs,,,,,,,,,,,,,,,0.0,,0.0,0.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual rev"
1432,1040,,Daewoo International Corporation,No - profiled under subsidiary,,Jonathan,,5/30/2017,12 Month,5/30/2018,POSCO,Bio Inti Agrindo,POSCODAEWOO,POSCODAEWOO,,www.daewoo.com,,"Korea, Rep",Publicly traded,KRX: 047050,Wholesalers,Retail/Wholesale,,2970000000000.0,,16490000000000.0,KRW,2471040000.0,13719680000.0,5/30/2017,,,,,,,,,,,,No,No,No,No,0.0,,3.0,0.25,,2/13/2019 5:22:08 PM,,,
1436,1044,60.0,Dai Nippon Printing Co.,Yes,yes,Philip,2016.0,1/29/2018,9 Month,10/29/2018,,DNP Imagingcomm America,,,,www.dnp.co.jp/eng,,Japan,Publicly traded,JP: 7912,Printing,Media/Entertainment,,815790000000.0,,1410000000000.0,JPY,6882820230.0,11896170000.0,1/29/2018,,,,,,,,,,,,No,No,Yes,No,1.0,,4.0,2.0,,1/26/2019 2:14:52 AM,,,
1440,1182,2503.0,DS Smith,Yes,yes,Jonathan,2017.0,3/29/2017,9 Month,12/29/2017,,"SCA Packaging, Duropack, RKTK",,,,www.dssmith.com,,United Kingdom,Publicly traded,London: SMDS,Containers/Packaging,Industrial Goods,,4110000000.0,,4070000000.0,GBP,5919456270.0,5861845990.0,3/29/2017,dssmithpack,,,,,,,,,,,No,No,Yes,No,1.0,,2.0,2.0,,1/26/2019 2:14:34 AM,,,
1448,1190,70.0,Dunkin' Brands,Yes,yes,Jonathan,2016.0,10/4/2016,12 Month,10/4/2017,,"Dunkin' Donuts, Baskin-Robbins","Baskin-Robbins, Dunkin' Donuts","Baskin-Robbins,  Dunkin' Donuts",,www.dunkinbrands.com,,United States,Publicly traded,Nasdaq: DNKN,Restaurants & Bars,Consumer Goods,,4750000000.0,,810930000.0,USD,4750000000.0,810930000.0,10/4/2016,,,,,,,,,,,,No,Yes,No,No,1.0,,12.0,2.0,,2/13/2019 5:22:08 PM,,,
1449,1191,71.0,Dupont,Yes,yes,An,2016.0,12/28/2018,9 Month,12/15/2018,DowDuPont,"DuPont Nutrition Biosciences (previously Danisco), DuPont Nutrition & Health (previously Solae)",du Pontde Nemoursand Company,du Pontde Nemoursand Company,,www.dupont.com,,United States,Publicly traded,NYSE: DWDP,Commodity Chemicals,Basic Materials/Resources,,122350000000.0,,62370000000.0,USD,55190000000.0,25120000000.0,11/01/2018,DuPont_ability,,,,,,,,,,,No,Yes,Yes,No,2.0,,7.0,4.5,,2/13/2019 5:22:08 PM,,,"market cap, annual rev, ticker"
1467,1586,83.0,General Mills,Yes,yes,Laura,2016.0,9/28/2018,6 Month,9/9/2017,,,"Betty Crocker, Big Gcereals, Bisquick, Bugles, Cascadian Farm, Cheerios, Chex, Cinnamon Toast Crunch, Diablitos Underwood, Fiber One, Food Should Taste Good, Frescarini, Fruit Snacks, Gardetto's, Gold Medal, Green Giant, Helper, Jus-Rol, Kix, Knack & Back, La Saltena, Larabar, Latina, Liberte, Lucky Charms, Macaroni Grill, Monsters, Mountain High, Muir Glen, Nature Valley, Old El Paso, Pillsbury Atta, Progresso, Total, Totino's/ Jeno's, Trix, V. Pearl, Wanchai Ferry, Wheaties, Yoki, Yoplait, Yoplait France","Betty Crocker,  Big Gcereals,  Bisquick,  Bugles,  Cascadian Farm,  Cheerios,  Chex,  Cinnamon Toast Crunch"," Diablitos Underwood,  Fiber One,  Food Should Taste Good,  Frescarini,  Fruit Snacks,  Gardetto's,  Gold Medal,  Green Giant,  Helper,  Jus-Rol,  Kix,  Knack & Back,  La Saltena,  Larabar,  Latina,  Liberte,  Lucky Charms,  Macaroni Grill,  Monsters,  Mountain High,  Muir Glen,  Nature Valley,  Old El Paso,  Pillsbury Atta,  Progresso,  Total,  Totino's/ Jeno's,  Trix,  V. Pearl,  Wanchai Ferry,  Wheaties,  Yoki,  Yoplait,  Yoplait France",www.generalmills.com,,United States,Public,NYSE: GIS,Food Products,Consumer Goods,,28360000000.0,,15740000000.0,USD,34840000000.0,16560000000.0,2018,GeneralMills,,,,,,,,,,,Former,Yes,Yes,Former,3.0,,14.0,10.0,,2/13/2019 5:22:08 PM,,,"market capitalization, annual revenue, finance year, ticker"
1469,1588,,GENERIX,No exposure,No,Philip,,1/22/2016,-,,,,,,,www.generixgroup.com/en,,France,Publicly traded,Paris: GENX,Software,Technology,,64210000.0,,,EUR,69727629.51,0.0,1/22/2016,,,,,,,,,,,,,,,,0.0,,0.0,1.0,,1/26/2019 2:14:40 AM,,,
1484,1868,100.0,Henkel,Yes,yes,Laura,2016.0,8/31/2018,6 Month,9/13/2017,,Sun Products Corporation,"3DMEN, Antica Erboristeria, Aok, Aquence, B C Bonacure, BLONDME, Bonderite, Bref, Brilliance, Ceresit, Clin, Clynol, Combat, DAC, Deni, Denivit, Der General, Diadem, Diadermine, Dial, Diosa, Dixan, essence Ultime, Essensity, Fa, Freshlight, Gliss Kur, Got2b, Guang Ming, Henkel AG & Company, K Ga A, Igora, Indola, Laska, Le Chat, Licordel Polo, Live Color XXL, Loctite, Losk, Mas, Men Perfect, Metylan, Million Color, Mir, Natural & Easy, Nectra Color, Nelsen, Osis+, Paon Essence Rich, Pattex, Pemolux, Perfect Mousse, Persil, Perwoll, Poly Palette, Ponal, Pril, Pritt, Pur, Purex, Renuzit, Rex, Right Guard, Schauma, Schwarzkopf, Seah, Silan, Silhouette, Sista, Soft Scrub, Somat, Spee, Supreme Keratin, Syoss, Taft, Tangit, Technomelt, Teraxyl, Teroson, Theramed, Thomsit, Vademecum, Vernel, W C Frisch, Weisser Riese, Wi P P, X-TRA","3DMEN,  Antica Erboristeria,  Aok,  Aquence,  B C Bonacure,  BLONDME,  Bonderite,  Bref"," Brilliance,  Ceresit,  Clin,  Clynol,  Combat,  DAC,  Deni,  Denivit,  Der General,  Diadem,  Diadermine,  Dial,  Diosa,  Dixan,  essence Ultime,  Essensity,  Fa,  Freshlight,  Gliss Kur,  Got2b,  Guang Ming,  Henkel AG & Company,  K Ga A,  Igora,  Indola,  Laska,  Le Chat,  Licordel Polo,  Live Color XXL,  Loctite,  Losk,  Mas,  Men Perfect,  Metylan,  Million Color,  Mir,  Natural & Easy,  Nectra Color,  Nelsen,  Osis+,  Paon Essence Rich,  Pattex,  Pemolux,  Perfect Mousse,  Persil,  Perwoll,  Poly Palette,  Ponal,  Pril,  Pritt,  Pur,  Purex,  Renuzit,  Rex,  Right Guard,  Schauma,  Schwarzkopf,  Seah,  Silan,  Silhouette,  Sista,  Soft Scrub,  Somat,  Spee,  Supreme Keratin,  Syoss,  Taft,  Tangit,  Technomelt,  Teraxyl,  Teroson,  Theramed,  Thomsit,  Vademecum,  Vernel,  W C Frisch,  Weisser Riese,  Wi P P,  X-TRA",www.henkel.com,,Germany,Public,XE:HEN,Nondurable Household Products,Consumer Goods,,47950000000.0,,20029000000.0,EUR,52070391450.0,20317769010.0,3/13/2017,Henkel,,,,,,,,,,,No,Yes,Yes,No,2.0,,13.0,9.0,,2/13/2019 5:22:08 PM,,,"ticker, public/private"
1489,2152,,Jaya Tiasa Holding Berhad,,,,,,-,, Rimbunan Hijau Group,,,,,,,Malaysia,Publicly traded,,,,,,,,,,,8/9/2017,,,,,,,,,,,,,,,,0.0,,3.0,0.0,,1/26/2019 2:14:46 AM,,,
1490,2153,115.0,JBS,Yes,yes,Luke,2016.0,9/30/2018,6 Month,9/3/2017,,"Moy Park, Pilgrim's Pride","5 Star Beef, Aspen Ridge Natural Beef, Bertin, Blue Ribbon Beef, Cabana Las Lilas, Cedar River Farms, Chef's Exclusive, Clear River Farms, Confianca, Country Pride, Doriana, Excelsior, Frangosul, Friboi, Gold Kist Farms, Honey Dipt, Le Bon, Liberty Bell, Massaleve, Maturatta, Moyer, Packerland, Penabranco, Pierce, Pierce Chicken, Pilgrim's, Rezende, Seara, Showcase Premium Ground Beef, Speed Grill, Super-Chik'n, Swift, Swift Black Angus, Tekitos, Texasburger, To-Ricos, TRP, Wing Dings, Wing Zings","5 Star Beef,  Aspen Ridge Natural Beef,  Bertin,  Blue Ribbon Beef,  Cabana Las Lilas,  Cedar River Farms,  Chef's Exclusive,  Clear River Farms"," Confianca,  Country Pride,  Doriana,  Excelsior,  Frangosul,  Friboi,  Gold Kist Farms,  Honey Dipt,  Le Bon,  Liberty Bell,  Massaleve,  Maturatta,  Moyer,  Packerland,  Penabranco,  Pierce,  Pierce Chicken,  Pilgrim's,  Rezende,  Seara,  Showcase Premium Ground Beef,  Speed Grill,  Super-Chik'n,  Swift,  Swift Black Angus,  Tekitos,  Texasburger,  To-Ricos,  TRP,  Wing Dings,  Wing Zings",www.jbs.com.br,,Brazil,Publicly traded,BR:JBSS3,Food Products,Consumer Goods,,25600000000.0,,163170000000.0,BRL,7937974940.0,40298395060.0,9/30/2018,JBS_oficial,,,,,,,,,,,Yes,No,Yes,Yes,6.0,,10.0,4.0,,2/13/2019 5:22:08 PM,,,"Market cap, annual revenue, finance year"
