PublicOrPrivate,CompanyName,HeadquarterCountry,TickerSymbol,FinancesCurrency
Public,Mondelez,United States,MDLZ,USD
Publicly traded,Mondi,South Africa,SA: MND,ZAR
Publicly traded,Monsanto,United States,NYSE: MON,USD
Publicly traded,Post Holdings,United States,NYSE: Post,USD
Publicly traded,Real,Germany,Subsidiary,EUR
Publicly traded,Reckitt Benckiser,United Kingdom,UK: RB,GBP
Publicly traded,SAP,Germany,Xetra: SAP,EUR
Publicly traded,Sappi Group,South Africa,ZA: SAP,ZAR
Publicly traded,Sappi North America,United States,Subsidiary,
Publicly traded,Sapporo,Japan,Tokyo: 2501,JPY
Publicly traded,Sarawak Oil Palms,Malaysia,,
Publicly traded,Sodexo,France,FR: SW,EUR
Publicly traded,Time Publishing and Media,China,Shanghai: 600551,CNY
Publicly traded,Walmart,United States,NYSE: WMT,USD
Publicly traded,Walt Disney Company,United States,NYSE: DIS,USD
Public,Arca Continental,Mexico,BMV: AC,MXN - Mexican Peso
Public,Essity,Sweden,Stockholm: ESSITYB,SEK - Swedish Krona
Publicly traded,Anheuser-Busch InBev,Belgium,NYSE: BUD,EUR
Publicly traded,Facebook,United States,Nasdaq: FB,USD
Publicly traded,GFK,GERMANY,Frankfurt: GFK,EUR
Publicly traded,IJM Plantations Berhad,Malaysia,,
Publicly traded,Kraft Heinz,United States,Nasdaq: KHC,USD
Publicly traded,Krispy Kreme,United States,NYSE:KKD,USD
Publicly traded,Kroger,United States,NYSE: KR,USD
Publicly traded,KS Oils ltd.,India,,
Publicly traded,Kuala Lumpur Kepong Berhad (KLK),Malaysia,MY: KLK,MYR
Publicly traded,L'Occitane International,Luxembourg,HK: 0973,HKD
Publicly traded,Morgan Sindall Group,United Kingdom,UK: MGNS,GBP
Publicly traded,Adecoagro,Luxembourg,NYSE: AGRO,USD
Publicly traded,Adidas,Germany,DE:ADS,USD - US Dollar
Publicly traded,Aditya Birla Nuvo,India,NSE: EQABIRLANUVO,INR
Publicly traded,BRF,Brazil,NYSE: BRFS,USD
Publicly traded,CHS (CHSCP),United States,Nasdaq: CHSCP,USD
Publicly traded,Daewoo International Corporation,"Korea, Rep",KRX: 047050,KRW
Publicly traded,Dai Nippon Printing Co.,Japan,JP: 7912,JPY
Publicly traded,DS Smith,United Kingdom,London: SMDS,GBP
Publicly traded,Dunkin' Brands,United States,Nasdaq: DNKN,USD
Publicly traded,Dupont,United States,NYSE: DWDP,USD
Public,General Mills,United States,NYSE: GIS,USD
Publicly traded,GENERIX,France,Paris: GENX,EUR
Public,Henkel,Germany,XE:HEN,EUR
Publicly traded,Jaya Tiasa Holding Berhad,Malaysia,,
Publicly traded,JBS,Brazil,BR:JBSS3,BRL
Public,Jeronimo Martins,Portugal,PT: JMT,EUR
Publicly traded,Aeon,Japan,JP : 8267,JPY
Publicly traded,Asahi Group Holdings,Japan,Tokyo: 2502,JPY
Public,BMW Group,Germany,GER:BMW,EUR - Euro
Publicly traded,Charoen Pokphand Foods PCL,Thailand,Bangkok: CPF,THB
Publicly traded,Cranswick,United Kingdom,UK: CWK,GBP
Publicly traded,Etablissements Fr. Colruyt,Belgium,BE: COLR,EUR
Publicly traded,EUROCASH,Poland,Warsaw: EUR,PLN
Publicly traded,Iberdrola,Spain,Madrid: IBE,EUR
Public,ICA Gruppen,Sweden,ICA,SEK
Publicly traded,Magnit Group,Russia,Moscow: MGNT,RUB
Publicly traded,Nielsen,Belgium,NYSE: NLSN,USD
Publicly traded,Ahlstrom,Finland,FI: AHL1V,EUR
Publicly traded,Ahold Delhaize,Netherlands,NL: AD,EUR
Publicly traded,Austindo Nusantara Jaya,Indonesia,,IDR
Publicly traded,Autodesk\A0,United States,Nasdaq: ADSK,USD
Publicly traded,Aviko,Netherlands,Subsidiary,EUR
Publicly traded,Bouygues\A0Group,France,Paris: EN,EUR
Publicly traded,Brambles,Australia,AU: BXB,AUD
Publicly traded,Clariant,Switzerland,SWX: CLN,CHF
Publicly traded,Dupont Nutrition and Health,United States,Subsidiary,
Publicly traded,Gb Plange UK,United Kingdom,Subsidiary,
Publicly traded,h2o-retailing,Japan,Tokyo: 8242,JPY
Publicly traded,Hain Celestial,United States,Nasdaq: HAIN,USD
Publicly traded,Kagome,Japan,Tokyo: 2811,JPY
Publicly traded,Neste Oil,Finland,FI: NESTE,EUR
Public,Nestl\E9,Switzerland,SWX Europe: NESN,CHF
Publicly traded,Alliant Energy Corporation,United States,NYSE: LNT,USD
Publicly traded,Barclay's,United Kingdom,UK: BARC,GBP
Publicly traded,Compass Group,United Kingdom,UK:CPG,GBP
Publicly traded,ConAgra Foods,United States,NYSE:CAG,USD
Publicly traded,Empire Company Limited,Canada,TSX: EMP.A,CAD
Publicly traded,Energizer,UNITED STATES,NYSE: ENR,USD
Publicly traded,Fluor Corporation,United States,NYSE: FLR,USD
Publicly traded,Hero Supermarket,Indonesia,Indonesia: Hero,IDR
Publicly traded,Hewlett-Packard (HP inc.),United States,NYSE: HPQ,USD
Publicly traded,International Flavors & Fragrances,United States,NYSE: IFF,USD
Publicly traded,International Paper APPM,India,NSE: EQIPAPPM,INR
Publicly traded,International Paper Co.,United States,NYSE: IP,USD
Publicly traded,Kikkoman,Japan,Tokyo: 2801,JPY
Public,Kimberly-Clark,United States,NYSE: KMB,USD
Publicly traded,Kingfisher,United Kingdom,UK: KGF,GBP
Publicly traded,Metro Cash & Carry,Germany,Subsidiary,EUR
Publicly traded,Metsa Board Corporation,Finland,FI: METSA,EUR
Publicly traded,Nisshin Oillio,Japan,Tokyo: 2602,JPY
Publicly traded,Nisshin Seifun Group,Japan,Tokyo: 2002,JPY
