No.,Member ID (internal),Organisation Name,Country,Submission Date,Primary Activity or Product,Membership Number
71,6004,Phanom Land Settlement Cooperatives Limited,Thailand,"May 6, 2018, 11:47 am",opg, smallholder
72,308,Poligrow Colombia SAS,Colombia,"May 4, 2018, 1:05 am",opg,1-0079-09-000-00
73,19,PPB Oil Palms Berhad,Malaysia,"May 3, 2018, 3:49 pm",opg,1-0011-04-000-00
74,4064,PT Harisa Agro Lestari,Indonesia,"May 3, 2018, 5:25 pm",opg,1-0186-15-000-00
75,236,PT. Agrowiratama,Indonesia,"May 3, 2018, 6:32 pm",opg, processor
76,150,PT. Austindo Nusantara Jaya Agri,Indonesia,"May 4, 2018, 7:12 pm",opg,1-0032-07-000-00
77,973,PT. Barumun Agro Sentosa,Indonesia,"April 23, 2018, 11:18 am",opg,1-0059-08-000-00
78,237,PT. Berkat Sawit Sejati,Indonesia,"May 3, 2018, 5:59 pm",opg,1-0055-08-000-00
79,2042,PT. Brahma Binabakti,Indonesia,"April 30, 2018, 6:22 pm",opg,1-0147-13-000-00
80,1891,PT. DHARMA SATYA NUSANTARA,Indonesia,"April 30, 2018, 6:01 pm",opg,1-0135-12-000-00
81,225,PT. Eagle High Plantations Tbk,Indonesia,"April 17, 2018, 6:50 pm",opg,1-0048-08-000-00
82,2687,PT. First Lamandau Timber International,Indonesia,"April 30, 2018, 6:28 pm",opg,1-0158-14-000-00
83,2043,PT. Gawi Bahandep Sawit Mekar,Indonesia,"April 30, 2018, 6:17 pm",opg,1-0139-13-000-00
84,1199,PT. GAWI MAKMUR KALIMANTAN,Indonesia,"April 25, 2018, 3:57 pm",opg,1-0126-12-000-00
85,814,PT. Hilton Duta Lestari,Indonesia,"May 4, 2018, 8:06 pm",opg,1-0123-12-000-00
86,22,PT. Inti Indosawit Subur,Indonesia,"April 27, 2018, 9:17 am",opg,1-0022-06-000-00
87,896,PT. Mentari Pratama,Indonesia,"May 3, 2018, 5:42 pm",opg,1-0101-11-000-00
88,78,PT. Musim Mas,Indonesia,"May 3, 2018, 6:16 pm",opg, processor
89,3,PT. Perkebunan Nusantara III,Indonesia,"April 4, 2018, 6:03 pm",opg,1-0030-06-000-00
90,314,PT. Perkebunan Nusantara IV (PERSERO),Indonesia,"May 2, 2018, 11:14 am",opg,1-0082-09-000-00
